business_type,location,monthly_kwh,monthly_bill_ngn,operating_hours_per_day,roof_size_sqm,avg_sun_hours,recommended_system_size_kw,installation_cost_ngn,annual_savings_ngn,roi_percent,payback_years
Bakery/Food Processing,Ibadan,1436.7182020405162,143671.82020405162,17.408571676918996,452.5966679962728,5.3,11.584568634417966,10025647.187604822,1724061.8424486194,17.19651420189769,5.815131998609619
Welding Shop/Technical Services,Kano,2197.3169683940732,219731.69683940732,7.872223685309239,135.79698618491147,6.2,15.145553959154073,10755527.189738791,2636780.362072888,24.51558455069021,4.079037960250661
Welding Shop/Technical Services,Ibadan,1116.167224336399,111616.7224336399,16.394113749299223,380.61325645876485,5.3,8.999896987069818,7109595.602092324,1339400.6692036786,18.839336921069023,5.30804244432641
Retail Store/Trading,Enugu,766.4580622368364,76645.80622368364,6.247013931549629,583.4504186890969,5.1,6.422474126335147,4331440.627792143,919749.6746842037,21.23426715773837,4.709369024000302
Agro-processing Unit,Lagos,3581.1066020010544,358110.66020010546,8.548069328139313,150.00373196390535,5.0,30.607748735051747,23017450.385051243,4297327.922401265,18.669869383935673,5.356223867642274
Welding Shop/Technical Services,Ibadan,1366.8090197068677,136680.90197068677,9.650906915514453,338.6160373977308,5.3,11.020875824116011,7011815.958058028,1640170.8236482413,23.391527008967568,4.275052242705796
Bakery/Food Processing,Kano,1534.3065316915968,153430.6531691597,9.494749682376503,386.5190920973087,6.2,10.575589548467029,6561768.447061327,1841167.8380299164,28.059018736854075,3.563916505342903
Small Manufacturing Plant,Ibadan,2988.2285122821463,298822.8512282146,9.505735782422619,251.49901381153043,5.3,24.094730787632205,17620281.80627393,3585874.2147385757,20.350833511991727,4.913803650404541
Other,Kaduna,1075.318973168961,107531.89731689611,15.422111536716162,159.82058018709785,6.0,7.65896704536297,5355547.026238484,1290382.7678027533,24.094322418994143,4.150355351813818
Other,Kano,1174.1985453031398,117419.85453031398,13.10897482634451,75.54772699599874,6.2,8.093455647250757,5922908.583499024,1409038.2543637678,23.78963366561641,4.203511554889213
Welding Shop/Technical Services,Lagos,2215.089703802877,221508.9703802877,8.046289484247499,85.77837614190373,5.0,18.932390630793822,11637063.35674745,2658107.6445634523,22.841739045978617,4.377950374037104
Other,Abuja,1913.1054133306666,191310.54133306665,17.587584396894712,494.61854146405364,5.5,14.864843926423204,9614330.322226917,2295726.4959968,23.878173716264126,4.18792497233099
Salon/Personal Services,Lagos,347.998949962691,34799.8949962691,7.172065368076606,426.3281645816863,5.0,2.9743499996811193,1586991.7595084968,417598.73995522916,26.313856858624305,3.8002790901108527
Retail Store/Trading,Kano,552.121994991681,55212.199499168106,7.464458818137346,322.3473005611986,6.2,3.8056382340204093,1982397.101432201,662546.3939900172,33.421477135501995,2.992087979671459
Agro-processing Unit,Kano,1585.971302788046,158597.1302788046,16.911844824945383,192.32898988000932,6.2,10.93170183890299,6574138.02766333,1903165.5633456553,28.949279058902032,3.4543174562839263
Agro-processing Unit,Kaduna,3156.3057108849553,315630.57108849555,9.740532913072931,336.0374116477959,6.0,22.480809906588,11908056.765602471,3787566.8530619466,31.80675846291467,3.1439858958464995
Other,Ibadan,1229.4074748835756,122940.74748835756,8.218253466306324,583.2715452705072,5.3,9.912977543005768,5367975.313994144,1475288.9698602906,27.483154887360573,3.6385924545362047
Welding Shop/Technical Services,Enugu,2550.265646722229,255026.5646722229,17.27398729877027,542.1550427352068,5.1,21.369747333016836,17633703.515748706,3060318.776066675,17.354940630216994,5.762047945349247
Salon/Personal Services,Lagos,538.6349862272053,53863.49862272053,17.062490820277404,98.67087612855573,5.0,4.603717831001755,2373444.3283459544,646361.9834726463,27.233079611481507,3.672004834805383
Other,Lagos,633.1708661125468,63317.08661125469,6.542727466926457,228.93168191979538,5.0,5.411716804380742,4132263.1186152683,759805.0393350562,18.387140836028582,5.43858345850354
Retail Store/Trading,Lagos,510.9418317515856,51094.183175158556,9.256188381286751,505.80563003356116,5.0,4.3670242030050055,2659618.6158198677,613130.1981019026,23.053312774053357,4.337771364146441
Retail Store/Trading,Enugu,485.40266135487144,48540.266135487145,9.37121411624857,348.48284573703666,5.1,4.067392838569393,3451663.883364025,582483.1936258457,16.87543206142517,5.925774204536412
Small Manufacturing Plant,Enugu,2993.2347874116695,299323.47874116694,15.626363769048476,91.00285402387395,5.1,25.081571873736127,17406533.474403277,3591881.7448940035,20.635250264941902,4.846076433097311
Bakery/Food Processing,Kaduna,2477.707792220879,247770.7792220879,15.26693723155989,159.29362484379482,6.0,17.64749139758461,10980808.87370917,2973249.3506650547,27.076778995614475,3.6932014703889497
Salon/Personal Services,Lagos,153.58937613034155,15358.937613034155,15.78553714145801,438.7715391161894,5.0,1.3127297105157398,928172.8593375768,184307.25135640986,19.856996409908735,5.0360083637875634
Bakery/Food Processing,Kaduna,2039.3121856696785,203931.21856696784,15.25524416023135,90.7245584537497,6.0,14.525015567447852,9481686.252821555,2447174.622803614,25.80948744296812,3.8745442047608476
Agro-processing Unit,Lagos,2396.1643213606812,239616.43213606812,7.390428714301557,524.7068842315764,5.0,20.48003693470668,14862781.126046311,2875397.1856328174,19.346293006991957,5.168948902193249
Welding Shop/Technical Services,Kano,2246.596253655116,224659.6253655116,9.97077629823179,84.957092657313,6.2,15.485223694893271,8452038.682027139,2695915.504386139,31.89662998252571,3.13512744308048
Small Manufacturing Plant,Lagos,3588.4381260048176,358843.8126004818,9.902199864320965,451.28339808593523,5.0,30.67041133337451,27566449.19337878,4306125.7512057815,15.620893793750104,6.401682344195302
Small Manufacturing Plant,Ibadan,4731.451149743246,473145.1149743246,16.64655291091592,309.71820883907213,5.3,38.150710770385786,25569459.067850947,5677741.379691895,22.20516814464271,4.503456103039072
Bakery/Food Processing,Ibadan,1003.3102180951129,100331.0218095113,14.558937446675941,468.4317767392936,5.3,8.089906612603716,5171814.648253804,1203972.2617141355,23.27949363229096,4.295626081028245
Other,Kano,1254.1712358681436,125417.12358681437,15.251606159454731,321.5875780004149,6.2,8.644687316433302,6778160.485314904,1505005.4830417724,22.203745194620485,4.503744711690709
Other,Enugu,1188.6458099493898,118864.58099493898,11.130492220302596,63.980519709252356,5.1,9.960162644120913,6429880.231977489,1426374.9719392678,22.1835387360021,4.507847065793342
Bakery/Food Processing,Ibadan,983.4154258886176,98341.54258886176,6.3771502282408115,400.02572619507924,5.3,7.9294906135189285,6607721.618844281,1180098.511066341,17.859386020453226,5.599296632340906
Welding Shop/Technical Services,Port Harcourt,1628.7119621526533,162871.19621526534,12.102848293976432,549.1615606593512,4.8,14.50064068868103,9885206.96407547,1954454.3545831842,19.771506673416198,5.057783488723959
